comment,cleaned_text,tokens,sentiment,classification_method,positive_score,negative_score,positive_hits,negative_hits,negated_hits
这家店的外卖很好吃，配送速度也很快，下次还会点。,这家店的外卖很好吃 配送速度也很快 下次还会点,这家 外卖 好吃 配送 速度 很快 下次 还会点,positive,lexicon,2,0,好吃|快,,
电影画面很漂亮，剧情也不错，值得推荐。,电影画面很漂亮 剧情也不错 值得推荐,电影 画面 很漂亮 剧情 不错 值得 推荐,positive,lexicon,4,0,漂亮|不错|值得|推荐,,
包装是蓝色的，今天上午收到。,包装是蓝色的 今天上午收到,包装 蓝色 今天上午,neutral,lexicon,0,0,,,
价格有点贵，客服回复很慢，让人失望。,价格有点贵 客服回复很慢 让人失望,价格 有点 客服 回复 失望,negative,lexicon,0,3,,贵|慢|失望,
这款手机屏幕清晰，系统用起来很方便。,这款手机屏幕清晰 系统用起来很方便,手机 屏幕 清晰 系统 起来 方便,positive,lexicon,2,0,清晰|方便,,
味道太难吃了，服务也很差，不会再买。,味道太难吃了 服务也很差 不会再买,味道 难吃 服务 不会,negative,lexicon,0,3,,难吃|很差|不会再买,
商品质量一般，和描述基本一致。,商品质量一般 和描述基本一致,商品质量 一般 描述 基本一致,neutral,lexicon,0,0,,,
物流速度快，包装完整，我很满意。,物流速度快 包装完整 我很满意,物流 速度 包装 完整 满意,positive,lexicon,2,0,快|满意,,
房间有异味，隔音不好，体验很糟糕。,房间有异味 隔音不好 体验很糟糕,房间 异味 隔音 不好 糟糕,negative,lexicon,0,3,,异味|不好|糟糕,
课程内容清晰，讲解很细，学习起来很舒服。,课程内容清晰 讲解很细 学习起来很舒服,课程内容 清晰 讲解 学习 起来 舒服,positive,lexicon,2,0,清晰|舒服,,
